Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
LX,Dammam,Lexus,Automatic,Saudi,Full,2021,5.7,9100,459000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,74917,38500
Land Cruiser,Dammam,Toyota,Manual,Saudi,Semi Full,2002,4.0,3000,42000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2017,1.5,152973,24500
Senta fe,Aseer,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,255000,51000
Spark,Riyadh,Chevrolet,Automatic,Saudi,Standard,2020,1.4,16000,27000
Corolla,Tabouk,Toyota,Automatic,Gulf Arabic,Semi Full,2015,2.5,96000,40000
Hilux,Riyadh,Toyota,Automatic,Saudi,Full,2021,2.4,4000,158500
Expedition,Al-Medina,Ford,Automatic,Saudi,Semi Full,2016,1.5,170000,85000
Sportage,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,46000,65000
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2017,2.7,100000,90000
Picanto,Al-Medina,Kia,Automatic,Saudi,Standard,2015,1.0,142000,18500
Colorado,Dammam,Chevrolet,Manual,Saudi,Standard,2013,2.0,196000,28000
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2017,4.0,89000,75000
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,135000,60000
VTC,Dammam,Nissan,Automatic,Saudi,Standard,2016,4.0,112000,106000
Juke,Riyadh,Nissan,Automatic,Saudi,Semi Full,2014,1.5,225000,26000
Yaris,Qassim,Toyota,Automatic,Saudi,Standard,2019,1.5,54000,35000
Range Rover,Dammam,Land Rover,Automatic,Saudi,Full,2015,3.0,105000,190000
Fluence,Riyadh,Renault,Automatic,Saudi,Semi Full,2016,1.8,67000,22000
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2020,5.7,19131,406500
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,120496,40800
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2020,1.6,16479,56000
Expedition,Dammam,Ford,Automatic,Saudi,Full,2016,3.6,265000,115000
G,Riyadh,Mercedes,Automatic,Other,Full,2019,4.0,39000,800000
Yukon,Al-Ahsa,GMC,Automatic,Saudi,Standard,2009,5.3,523000,45000
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,90000,48500
CLS,Jeddah,Mercedes,Automatic,Saudi,Full,2014,3.5,88000,110000
Yukon,Al-Baha,GMC,Automatic,Saudi,Full,2009,6.2,138000,55000
E,Riyadh,Mercedes,Automatic,Other,Standard,2019,2.0,28000,185000
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2013,6.0,124628,75000
The 7,Riyadh,BMW,Automatic,Gulf Arabic,Full,2017,2.0,87000,175000
S,Riyadh,Mercedes,Automatic,Other,Full,2015,3.0,300000,188000
Carnival,Jeddah,Kia,Automatic,Saudi,Standard,2020,3.3,200,106000
Yukon,Al-Ahsa,GMC,Automatic,Saudi,Full,2014,6.2,36000,95000
CX9,Riyadh,Mazda,Automatic,Saudi,Semi Full,2014,3.7,289903,51500
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,90084,50000
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,134000,36000
Rio,Riyadh,Kia,Automatic,Saudi,Standard,2017,1.4,144024,27500
Expedition,Riyadh,Ford,Manual,Saudi,Full,2013,5.4,225299,66587
CX9,Riyadh,Mazda,Automatic,Saudi,Full,2020,4.0,51000,130000
Corolla,Jeddah,Toyota,Automatic,Saudi,Standard,2017,1.6,157000,47500
C,Jeddah,Mercedes,Automatic,Other,Full,2020,3.0,33000,235000
A8,Dammam,Audi,Automatic,Saudi,Full,2019,3.0,41000,325000
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,75000,110000
Range Rover,Tabouk,Land Rover,Automatic,Saudi,Full,2006,5.0,300000,25000
E,Riyadh,Mercedes,Automatic,Other,Full,2017,3.4,72000,178000
Azera,Dammam,Hyundai,Automatic,Saudi,Semi Full,2008,2.7,407767,17000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,22000,85000
Sierra,Dammam,GMC,Automatic,Saudi,Semi Full,2016,6.0,450000,71000
Escalade,Al-Medina,Cadillac,Automatic,Other,Full,2010,6.2,194000,37000
Accord,Makkah,Honda,Automatic,Saudi,Full,2014,2.4,480000,40000
S,Dammam,Mercedes,Automatic,Saudi,Full,2020,3.5,19700,395000
MKS,Jeddah,Lincoln,Automatic,Gulf Arabic,Semi Full,2018,2.0,14000,115000
E,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2016,3.0,117000,110000
Pajero,Jeddah,Mitsubishi,Automatic,Saudi,Full,2018,3.8,60000,85000
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2016,5.4,109000,72000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016,5.4,120000,72000
Hilux,Dammam,Toyota,Manual,Gulf Arabic,Standard,2016,2.7,97173,64000
Accord,Tabouk,Honda,Automatic,Saudi,Full,2012,3.5,300,36000
Eado,Jeddah,Changan,Automatic,Saudi,Full,2021,1.6,1000,60000
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,117313,32500
Corolla,Jeddah,Toyota,Automatic,Saudi,Semi Full,2011,1.4,283971,25000
HRV,Riyadh,Honda,Automatic,Saudi,Standard,2021,1.8,6000,60000
Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,2019,1.5,42628,38500
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,102650,37500
CS35 Plus,Riyadh,Changan,Automatic,Saudi,Full,2020,1.4,67095,60000
Senta fe,Dammam,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,212000,57000
Mustang,Dammam,Ford,Manual,Other,Standard,2015,5.0,119000,85000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,65000,30000
Accent,Dammam,Hyundai,Automatic,Saudi,Full,2020,1.6,10400,53000
Impala,Riyadh,Chevrolet,Automatic,Gulf Arabic,Semi Full,2019,3.6,85000,73000
Prado,Jeddah,Toyota,Automatic,Saudi,Full,2020,4.0,8000,174000
FJ,Dammam,Toyota,Automatic,Saudi,Semi Full,2017,4.0,127000,117000
Expedition,Aseer,Ford,Automatic,Saudi,Semi Full,2007,5.4,300,18000
Grand Cherokee,Riyadh,Jeep,Automatic,Saudi,Full,2015,5.7,146000,95000
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2013,1.6,251,35000
The 7,Dammam,BMW,Automatic,Gulf Arabic,Full,2020,2.0,4500,325000
Flex,Al-Ahsa,Ford,Automatic,Other,Standard,2016,3.5,183000,60000
Traverse,Besha,Chevrolet,Automatic,Other,Standard,2011,3.6,100000,20000
Land Cruiser Pickup,Al-Medina,Toyota,Manual,Saudi,Standard,2014,6.0,192000,73000
Elantra,Riyadh,Hyundai,Automatic,Other,Standard,2015,2.0,300,25000
GS3,Al-Ahsa,GAC,Automatic,Saudi,Full,2021,1.3,9000,57000
Cerato,Dammam,Kia,Automatic,Saudi,Standard,2017,1.6,132700,29000
Carnival,Riyadh,Kia,Automatic,Saudi,Standard,2015,2.4,132000,37000
Camry,Jeddah,Toyota,Automatic,Saudi,Standard,2010,2.4,255,33500
Range Rover,Riyadh,Land Rover,Automatic,Other,Full,2019,5.0,36000,400000
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,70263,89000
CT-S,Dammam,Cadillac,Automatic,Saudi,Semi Full,2019,2.0,43000,135000
Land Cruiser,Al-Medina,Toyota,Automatic,Saudi,Full,2000,4.8,396000,30000
Mustang,Dammam,Ford,Automatic,Other,Full,2018,2.3,79000,122000
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,128000,35000
Tucson,Dammam,Hyundai,Automatic,Saudi,Standard,2016,2.0,155000,45000
Flex,Al-Medina,Ford,Automatic,Other,Standard,2010,3.5,248000,20000
S,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2015,4.0,157000,215000
CX9,Riyadh,Mazda,Automatic,Saudi,Full,2014,3.7,388000,37000
Datsun,Dammam,Nissan,Manual,Saudi,Semi Full,2015,2.0,182000,29000
Opirus,Riyadh,Kia,Automatic,Other,Semi Full,2006,3.5,25500,14000
Pajero,Aseer,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,132000,63000
Sierra,Tabouk,GMC,Automatic,Saudi,Full,2015,5.3,272,70000
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2013,5.3,300000,48000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,161796,54500
EC7,Jeddah,Geely,Automatic,Saudi,Full,2014,1.6,229000,18000
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2012,2.5,221000,30000
C,Riyadh,Mercedes,Automatic,Other,Semi Full,2016,2.0,76000,102000
Passat,Jeddah,Volkswagen,Automatic,Saudi,Standard,2013,2.5,160000,35000
Camry,Tabouk,Toyota,Automatic,Saudi,Standard,2017,2.5,120,55000
