Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Ciocca,Riyadh,Toyota,Automatic,Saudi,Standard,2016,5.7,348000,79000
C,Dammam,Mercedes,Automatic,Other,Full,2019,2.0,15000,175000
D-MAX,Dammam,Isuzu,Manual,Saudi,Standard,2015,2.5,445539,53000
Land Cruiser,Aseer,Toyota,Automatic,Saudi,Full,2013,4.6,101000,150000
C,Dammam,Mercedes,Automatic,Saudi,Semi Full,2019,2.0,44000,185000
Impala,Dammam,Chevrolet,Automatic,Saudi,Standard,2016,3.5,91000,55000
Malibu,Abha,Chevrolet,Automatic,Saudi,Standard,2020,1.5,62000,57000
Grand Cherokee,Jeddah,Jeep,Automatic,Saudi,Standard,2015,3.6,148,69500
Expedition,Dammam,Ford,Automatic,Saudi,Standard,2014,5.4,120000,65000
C,Dammam,Mercedes,Automatic,Other,Full,2016,2.0,99000,129000
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2016,5.0,70000,288000
Accord,Jeddah,Honda,Automatic,Saudi,Semi Full,2017,2.5,95000,78000
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2018,4.0,56000,150000
Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,153000,66000
5008,Riyadh,Peugeot,Automatic,Saudi,Semi Full,2018,1.6,34000,85000
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,97300,31000
Malibu,Dammam,Chevrolet,Automatic,Saudi,Full,2013,3.6,177000,30000
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,56991,33500
Dokker,Riyadh,Renault,Manual,Saudi,Semi Full,2016,1.0,155000,20000
Land Cruiser,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2006,4.8,247000,55000
S,Riyadh,Mercedes,Automatic,Other,Semi Full,2005,5.0,350000,20000
Sunny,Jeddah,Nissan,Automatic,Other,Semi Full,2019,1.5,46000,32000
Yukon,Qassim,GMC,Automatic,Saudi,Full,2012,5.3,270,39000
FJ,Dammam,Toyota,Automatic,Saudi,Semi Full,2014,4.0,199000,95000
Sonata,Riyadh,Hyundai,Automatic,Gulf Arabic,Full,2016,2.4,38000,63000
Spark,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,20000
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2017,1.5,106646,22500
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2010,4.6,344000,88000
